Rank,Name,Pay,Salary/Winnings,Endorsements,Sport
#1,Cristiano Ronaldo,$93 M,$58 M,$35 M,Soccer
#2,LeBron James,$86.2 M,$31.2 M,$55 M,Basketball
#3,Lionel Messi,$80 M,$53 M,$27 M,Soccer
#4,Roger Federer,$64 M,$6 M,$58 M,Tennis
#5,Kevin Durant,$60.6 M,$26.6 M,$34 M,Basketball
#6,Andrew Luck,$50 M,$47 M,$3 M,Football
#6,Rory McIlroy,$50 M,$16 M,$34 M,Golf
#8,Stephen Curry,$47.3 M,$12.3 M,$35 M,Basketball
#9,James Harden,$46.6 M,$26.6 M,$20 M,Basketball
#10,Lewis Hamilton,$46 M,$38 M,$8 M,Auto Racing
#11,Drew Brees,$45.3 M,$31.3 M,$14 M,Football
#12,Phil Mickelson,$43.5 M,$3.5 M,$40 M,Golf
#13,Russell Westbrook,$38.6 M,$26.6 M,$12 M,Basketball
#14,Sebastian Vettel,$38.5 M,$38 M,$500 K,Auto Racing
#15,Damian Lillard,$38.4 M,$24.4 M,$14 M,Basketball
#16,Novak Djokovic,$37.6 M,$9.6 M,$28 M,Tennis
#17,Tiger Woods,$37.1 M,$107 K,$37 M,Golf
#18,Neymar,$37 M,$15 M,$22 M,Soccer
#19,Dwyane Wade,$36.2 M,$23.2 M,$13 M,Basketball
#20,Fernando Alonso,$36 M,$34 M,$2 M,Auto racing
#21,Jordan Spieth,$34.5 M,$5.5 M,$29 M,Golf
#22,Derrick Rose,$34.3 M,$21.3 M,$13 M,Basketball
#23,Usain Bolt,$34.2 M,$2.2 M,$32 M,Track
#24,Gareth Bale,$34 M,$23 M,$11 M,Soccer
#24,Conor McGregor,$34 M,$27 M,$7 M,Mixed Martial Arts
#26,Kei Nishikori,$33.9 M,$3.9 M,$30 M,Tennis
#27,Fletcher Cox,$33.4 M,$33.3 M,$75 K,Football
#28,Clayton Kershaw,$33.3 M,$32.5 M,$800 K,Baseball
#29,Carmelo Anthony,$32.6 M,$24.6 M,$8 M,Basketball
#30,Zlatan Ibrahimovic,$32 M,$27 M,$5 M,Soccer
#31,Antonio Brown,$31.9 M,$29.4 M,$2.5 M,Football
#32,Demar DeRozan,$31.6 M,$26.6 M,$5 M,Basketball
#33,Rafael Nadal,$31.5 M,$5.5 M,$26 M,Tennis
#34,Eric Berry,$31.1 M,$30.8 M,$300 K,Football
#35,Chris Paul,$30.9 M,$22.9 M,$8 M,Basketball
#36,David Price,$30.6 M,$30 M,$550 K,Baseball
#37,Miguel Cabrera,$30.3 M,$28.3 M,$2 M,Baseball
#38,Kyrie Irving,$29.9 M,$17.9 M,$12 M,Basketball
#39,Stephon Gilmore,$29.3 M,$29.1 M,$200 K,Football
#40,Andy Murray,$28.8 M,$14.8 M,$14 M,Tennis
#40,Justin Verlander,$28.8 M,$28.2 M,$600 K,Baseball
#42,Mike Conley,$28.6 M,$26.6 M,$2 M,Basketball
#43,Canelo Alvarez,$28.5 M,$27 M,$1.5 M,Boxing
#44,Anthony Davis,$28.1 M,$22.1 M,$6 M,Basketball
#44,Blake Griffin,$28.1 M,$20.1 M,$8 M,Basketball
#44,Al Horford,$28.1 M,$26.6 M,$1.5 M,Basketball
#44,Von Miller,$28.1 M,$25.1 M,$3 M,Football
#48,Dustin Johnson,$27.6 M,$16.6 M,$11 M,Golf
#49,Albert Pujols,$27.3 M,$25.3 M,$2 M,Baseball
#50,Dwight Howard,$27.2 M,$23.2 M,$4 M,Basketball
#51,Ryan Howard,$27 M,$26.7 M,$300 K,Baseball
#51,Serena Williams,$27 M,$8 M,$19 M,Tennis
#53,Robinson Cano,$26.6 M,$24.1 M,$2.5 M,Baseball
